player,first_serve_pct,first_serve_won_pct,second_serve_won_pct,serve_pts_won_pct,ace_pct,double_fault_pct,bp_saved_pct,return_pts_won_pct,second_serve_return_won_pct,bp_won_pct,tiebreak_won_pct,points_dominance,point_time,round_reached,year,grass_elo,pre_wimbledon_form,round_score,reached_qf
Mikhail Kukushkin,72.71,69.82,55.94,66.03,5.15,0.38,79.49,36.56,48.9,32.56,50.0,1.076,38.68,R16,2019,1859,1,1,0
Guido Pella,69.73,72.89,50.23,66.03,4.79,2.19,75.81,33.33,51.03,28.57,100.0,0.981,41.09,QF,2019,1947,1,2,1
Roberto Bautista Agut,68.05,75.33,57.63,69.68,4.33,1.99,71.88,40.95,58.63,36.51,,1.351,39.45,SF,2019,2082,2,3,1
Milos Raonic,66.67,84.78,62.32,77.29,22.22,4.59,80.95,36.55,46.21,31.58,80.0,1.61,39.44,R16,2019,2102,2,1,0
Roger Federer,64.82,79.96,61.54,73.48,10.96,2.03,73.33,40.34,51.28,47.14,50.0,1.521,39.81,F,2019,2364,5,4,1
Novak Djokovic,64.27,78.0,52.75,68.98,7.72,3.8,64.86,40.97,54.31,46.84,75.0,1.321,41.98,W,2019,2379,0,5,1
Kei Nishikori,64.19,70.96,59.17,66.74,3.18,2.54,62.07,40.8,58.01,42.31,,1.227,40.06,QF,2019,2152,0,2,1
Tennys Sandgren,63.64,73.86,54.26,66.73,10.44,2.13,56.67,36.5,50.83,48.72,50.0,1.097,39.77,R16,2019,1791,0,1,0
Fernando Verdasco,61.86,77.05,51.67,67.37,12.29,5.51,66.67,37.01,52.63,41.46,66.67,1.134,41.69,R16,2019,1985,1,1,0
Rafael Nadal,61.85,80.84,60.68,73.15,10.56,2.59,75.0,39.33,53.57,42.86,66.67,1.465,44.82,SF,2019,2412,0,3,1
Sam Querrey,61.66,83.58,50.47,70.89,22.06,3.98,78.13,33.21,42.38,40.0,71.43,1.141,35.78,QF,2019,1951,0,2,1
Joao Sousa,61.44,68.09,55.37,63.18,6.54,0.87,68.09,38.16,51.87,48.72,,1.036,40.87,R16,2019,1855,1,1,0
